PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Daniel Oturu,2021,TOR,22,3,1,2,9.1,3,1,2,50,0,0.3,0,1,1.7,60,0.3,1.3,1.7,0,0,0,0.7,0.3,7,0,0,-8,0
Kevin Knox II,2021,ATL,22,21,11,10,8,3,1,2.9,34.4,0.5,1.9,28.2,0.5,0.7,71.4,0.5,1.1,1.7,0.4,0.3,0.1,0,0.5,5.8,0,0,-2.3,0
Paris Bass,2021,PHX,26,2,2,0,3.7,3,1,3,33.3,0,1,0,1,1,100,1,1,2,0,1,0.5,0,1,5.9,0,0,1,0
Sandro Mamukelashvili,2021,MIL,23,34,19,15,9.3,3,1.1,2.5,45.9,0.4,1.1,38.5,0.3,0.4,75,0.8,0.9,1.8,0.5,0.3,0.2,0.2,0.6,6.8,0,0,-3.5,0
Tony Snell,2021,NOP,30,41,14,27,14.6,3,1.1,2.8,39.5,0.7,2.1,34.1,0.1,0.1,100,0.3,1.6,1.9,0.5,0.4,0.2,0.2,1.2,7,0,0,-3.3,0
Trevon Scott,2021,CLE,25,2,1,1,5.7,3,1.5,3,50,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,7.2,0,0,2,0
Elijah Hughes,2021,POR,24,17,13,4,9.1,2.9,1.1,3.1,34,0.6,2.3,28.2,0.2,0.2,100,0.2,1.2,1.5,0.5,0.5,0.2,0.2,0.7,6.3,0,0,-4,0
Semi Ojeleye,2021,LAC,27,22,12,10,14.6,2.9,0.9,3.5,26,0.5,2,27.3,0.5,0.7,75,1.2,1.5,2.7,0.2,0.3,0.2,0.2,1.2,7.6,0,0,-6.2,0
Udonis Haslem,2021,MIA,42,9,7,2,6.3,2.9,1.2,2.4,50,0.1,0.2,50,0.3,0.3,100,0.4,1.6,2,0.3,0.3,0.1,0.1,1.2,6.1,0,0,1.3,0
Malachi Flynn,2021,TOR,24,34,20,14,9,2.9,1.1,3.1,35.5,0.5,1.6,29.1,0.2,0.3,66.7,0.2,0.9,1.1,1.1,0.3,0.4,0.1,0.9,7,0,0,-1.1,0
Denzel Valentine,2021,UTA,28,24,14,10,9.2,2.9,1,2.8,37.9,0.8,2,40.4,0,0,0,0.4,1.4,1.8,0.5,0.5,0.3,0,0.8,6.2,0,0,-1.1,0
Tyler Johnson,2021,SAS,30,6,2,4,15.2,2.8,1,3.3,30,0.8,2.2,38.5,0,0,0,0.5,1.5,2,1.2,0.3,0.5,0.5,1.2,9.7,0,0,-1,0
Ignas Brazdeikis,2021,ORL,23,28,4,24,9,2.8,1,2.8,35.9,0.4,1.3,31.4,0.4,0.5,80,0.4,0.9,1.3,0.8,0.3,0.3,0,0.9,6.1,0,0,-0.7,0
Aleem Ford,2021,ORL,24,5,2,3,14.7,2.8,1.2,4,30,0.4,3,13.3,0,0,0,0.4,2.6,3,0.4,0.8,0.2,0,1.4,6.8,0,0,-7,0
Quinndary Weatherspoon,2021,GSW,25,5,4,1,6.6,2.8,1.2,2,60,0,0.2,0,0.4,0.4,100,0.2,1,1.2,0.4,0.6,0.2,0.2,1.4,5.4,0,0,-0.8,0
Gary Clark,2021,NOP,27,27,13,14,10.9,2.8,0.9,2.5,35.8,0.8,2.1,37.5,0.2,0.3,75,0.6,2,2.6,0.4,0.2,0.4,0.3,0.6,8.2,0,0,-0.9,0
Tomas Satoransky,2021,WAS,30,32,12,20,15,2.8,1,3.3,29.9,0.2,1,16.1,0.6,0.8,76,0.6,1.4,2,2.4,0.7,0.4,0,1,9.4,0,0,-4.7,0
Jay Scrubb,2021,LAC,21,18,8,10,6.7,2.7,1,2.6,39.1,0.3,1.2,28.6,0.4,0.6,70,0.1,0.8,0.9,0.4,0.4,0.2,0.2,0.5,5.2,0,0,0.9,0
Thanasis Antetokounmpo,2021,MIL,29,37,20,17,9.7,2.6,1.1,2.3,47.7,0,0.3,9.1,0.4,0.6,62.5,0.8,1.3,2.1,0.5,0.5,0.4,0.2,1.5,7.2,0,0,-2.9,0
Devon Dotson,2021,CHI,22,11,5,6,7.7,2.6,1,2.1,47.8,0.2,0.8,22.2,0.5,0.8,55.6,0.1,0.7,0.8,1.4,0.5,0.1,0,1,5.5,0,0,-0.2,0
Chris Silva,2021,MIA,25,10,7,3,9.1,2.6,0.8,1.5,53.3,0,0,0,1,1.2,83.3,1.3,2.3,3.6,0.7,0.8,0,0.1,2,7.5,0,0,-2.9,0
JT Thor,2021,CHA,19,19,9,10,9,2.6,0.9,2.2,40.5,0.4,1.3,29.2,0.4,0.6,66.7,0.5,0.9,1.4,0.7,0.3,0.3,0.4,1,7.2,0,0,0.8,0
Josh Okogie,2021,MIN,23,33,13,20,12.4,2.6,0.8,2.3,34.7,0.3,1.1,27.8,0.7,1.1,62.2,0.8,1.1,1.8,0.5,0.5,0.5,0.3,1.2,7.5,0,0,0.3,0
Gabriel Deck,2021,OKC,27,7,2,5,7.9,2.6,1.1,2,57.1,0.3,0.6,50,0,0,0,0.1,0.7,0.9,0.7,0.3,0.1,0,0.3,4.8,0,0,-2,0
Dylan Windler,2021,CLE,25,37,23,14,9.3,2.5,0.9,2.1,42.9,0.6,1.5,38.9,0.2,0.2,77.8,0.4,1.3,1.7,0.7,0.4,0.2,0.1,1,6.1,0,0,-0.4,0
Cassius Winston,2021,WAS,24,4,1,3,5.8,2.5,0.8,1.5,50,0.5,1.3,40,0.5,0.5,100,0,0,0,1,0.3,0,0,1,3.8,0,0,0.3,0
Mason Jones,2021,LAL,23,2,0,2,4.4,2.5,1,4,25,0,1,0,0.5,1,50,0.5,0.5,1,0,0.5,0.5,0,0.5,4.7,0,0,-2,0
Joe Wieskamp,2021,SAS,22,15,5,10,6.1,2.5,0.9,1.9,46.4,0.5,1.3,42.1,0.2,0.5,42.9,0.2,0.3,0.5,0.3,0.1,0.1,0.1,0.4,4.3,0,0,-0.5,0
Justin Champagnie,2021,TOR,21,31,19,12,8.2,2.5,0.9,1.9,48.3,0.3,0.7,40.9,0.3,0.3,100,1.2,0.9,2.1,0.3,0.2,0.2,0.1,1,6.2,0,0,1.8,0
Abdel Nader,2021,PHX,28,14,11,3,10.4,2.4,0.9,2.5,34.3,0.3,1,28.6,0.4,0.7,60,0.3,1.6,1.9,0.5,0.8,0.6,0.3,1.4,7.3,0,0,-0.1,0
Paul Reed,2021,PHI,23,24,12,12,9.5,2.4,1.1,2.5,45,0,0.2,0,0.2,0.4,40,1.3,1.4,2.7,0.4,0.3,0.8,0.5,1.5,9.8,0,0,-2.4,0
Javonte Smart,2021,MIA,23,13,8,5,12.3,2.4,0.8,3.3,25.6,0.3,1.4,22.2,0.4,0.5,83.3,0.3,1.2,1.5,1.1,0.7,0.3,0.2,0.8,6.4,0,0,-2.2,0
Bol Bol,2021,ORL,22,14,5,9,5.8,2.4,1.1,1.9,55.6,0.1,0.3,25,0.1,0.4,40,0.3,1.1,1.4,0.4,0.3,0.1,0.1,0.3,5,0,0,0.4,0
Freddie Gillespie,2021,ORL,25,9,1,8,13.2,2.3,1,2.4,40.9,0,0.1,0,0.3,0.8,42.9,1.4,2.6,4,0.6,0.6,0.3,1,2,11.4,0,0,-3.2,0
Justin Jackson,2021,PHX,27,7,6,1,5.2,2.1,0.7,2.1,33.3,0.4,1.3,33.3,0.3,0.3,100,0.1,0.9,1,0.3,0.1,0,0,0.4,3.6,0,0,-1.9,0
Chris Chiozza,2021,GSW,26,26,18,8,10.7,2.1,0.7,2.5,29.2,0.6,1.7,37.2,0,0,100,0.3,0.8,1.2,1.8,0.8,0.3,0,0.9,6.4,0,0,-0.5,0
Neemias Queta,2021,SAC,22,10,2,8,5.6,2.1,0.9,2.3,39.1,0,0,0,0.3,0.5,60,1.1,0.8,1.9,0.4,0.4,0.1,0.4,1.1,6.1,0,0,-0.5,0
Ahmad Caver,2021,IND,25,1,0,1,0.8,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Craig Sword,2021,WAS,28,3,1,2,6.3,2,1,1.3,75,0,0.3,0,0,0,0,0,0,0,0.3,0.3,1.3,0,2.3,6.2,0,0,0.3,0
Damyean Dotson,2021,NYK,28,2,1,1,10.3,2,1,2,50,0,0.5,0,0,0,0,0,1,1,0.5,0,0,0,0,4,0,0,1.5,0
Jake Layman,2021,MIN,28,23,14,9,7.3,2,0.8,2.1,36.7,0.2,1.1,15.4,0.3,0.3,75,0.2,0.9,1,0.3,0.3,0.3,0.2,0.4,4.7,0,0,-2.1,0
Jemerrio Jones,2021,LAL,27,2,0,2,7.4,2,1,1.5,66.7,0,0,0,0,0,0,1,0.5,1.5,0,0,0.5,0,1,5.3,0,0,-6.5,0
Joe Johnson,2021,BOS,41,1,1,0,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5,0
Keljin Blevins,2021,POR,26,12,4,8,6.1,2,0.8,1.9,39.1,0.5,1.2,42.9,0,0.2,0,0.2,0.5,0.7,0.3,0.5,0,0,0.4,2.8,0,0,-3.6,0
Langston Galloway,2021,MIL,30,7,4,3,15.2,2,0.9,3.7,23.1,0.3,2.3,12.5,0,0,0,0.4,2.1,2.6,1.7,0.9,0.1,0,1,7.2,0,0,-1.7,0
Mac McClung,2021,LAL,23,1,1,0,2.6,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-2,0
Norvel Pelle,2021,UTA,29,3,0,3,6.3,2,1,1.7,60,0,0,0,0,0,0,1,1,2,0,0.7,0,0.3,0.3,4.7,0,0,-6.3,0
Olivier Sarr,2021,OKC,23,2,0,2,6.8,2,0.5,1.5,33.3,0,0.5,0,1,1,100,0,2.5,2.5,0,0,0,1,0.5,8,0,0,-4,0
Rayjon Tucker,2021,MIL,24,3,1,2,9.8,2,0.3,0.7,50,0.3,0.7,50,1,1.3,75,0.3,1,1.3,1.3,0,0.3,0,1,6.6,0,0,1,0
Shaquille Harrison,2021,BKN,28,2,1,1,11.3,2,1,3,33.3,0,1,0,0,0,0,0.5,1.5,2,1.5,1,0.5,0.5,1.5,8.7,0,0,-2,0
Wenyen Gabriel,2021,LAL,25,7,3,4,6.8,2,0.7,1.9,38.5,0.3,0.7,40,0.3,0.6,50,0.7,1.4,2.1,0.3,0.4,0.1,0.3,1.6,5.9,0,0,0,0
Sam Hauser,2021,BOS,24,11,8,3,4.9,1.9,0.6,1.7,36.8,0.6,1.7,36.8,0,0,0,0.1,0.5,0.6,0.4,0,0.1,0.1,0.4,3.8,0,0,-0.3,0
Marko Simonovic,2021,CHI,22,9,4,5,3.9,1.9,0.4,1.7,26.7,0.1,0.6,20,0.9,1.2,72.7,0.6,0.6,1.1,0,0.2,0.1,0.1,0.7,3.7,0,0,0.3,0
Willie Cauley-Stein,2021,PHI,28,18,10,8,9.8,1.9,0.9,1.9,45.7,0.1,0.1,50,0.1,0.1,50,0.7,1.4,2.1,0.5,0.4,0.3,0.2,0.9,6.3,0,0,1.2,0
Ish Wainright,2021,PHX,27,29,24,5,7.4,1.9,0.7,2,36.2,0.3,1.1,29,0.1,0.2,42.9,0.7,0.6,1.3,0.3,0.3,0.3,0.2,1.1,5,0,0,1.1,0
Miles McBride,2021,NYK,21,21,9,12,7.2,1.8,0.7,2.8,25.9,0.2,1.5,16.1,0.1,0.2,75,0.1,0.7,0.8,1.1,0.1,0.4,0,0.7,5.5,0,0,1.4,0
Jalen Johnson,2021,ATL,20,14,9,5,4.6,1.8,0.6,1.4,45,0.2,0.6,37.5,0.3,0.4,66.7,0,1.1,1.1,0.1,0.2,0,0.1,0.2,3.3,0,0,-1.4,0
Georgios Kalaitzakis,2021,OKC,23,9,7,2,5.3,1.8,0.6,1.2,45.5,0.2,0.4,50,0.4,1,44.4,0.4,0.4,0.9,0,0.4,0.1,0.1,0.9,3.1,0,0,-5.4,0
Eugene Omoruyi,2021,DAL,25,4,1,3,4.5,1.8,0.5,1.3,40,0.3,0.5,50,0.5,1,50,0.5,1.3,1.8,0.5,0,0,0,0.5,4.6,0,0,0.8,0
Theo Pinson,2021,DAL,26,16,11,5,7.5,1.8,0.6,2,28.1,0.4,1.6,24,0.3,0.3,100,0.1,1.1,1.2,0.8,0.1,0.3,0.1,0.6,5.4,0,0,-3.1,0
Alize Johnson,2021,NOP,26,19,11,8,7.3,1.7,0.7,1.5,48.3,0,0.2,0,0.2,0.4,50,1.1,1.4,2.5,0.4,0.6,0.2,0,0.8,5.2,0,0,-3.5,0
Lindy Waters III,2021,OKC,24,3,0,3,4.1,1.7,0.7,1,66.7,0.3,0.7,50,0,0,0,0,0.3,0.3,0,0,0,0,0.7,2.1,0,0,0,0
McKinley Wright IV,2021,MIN,23,3,3,0,2.9,1.7,0.7,1,66.7,0.3,0.7,50,0,0,0,0,0,0,0.3,0.3,0,0,0.3,1.8,0,0,-3,0
Wayne Selden,2021,NYK,27,3,2,1,6.4,1.7,0.3,1.3,25,0.3,0.7,50,0.7,1.3,50,0,0.3,0.3,0.3,0,0,0,0.3,2.6,0,0,-4.3,0
Kevin Pangos,2021,CLE,29,24,16,8,6.9,1.6,0.6,1.9,32.6,0.3,1.1,23.1,0.1,0.2,75,0.1,0.4,0.5,1.3,0.3,0.1,0,0.5,4.1,0,0,-1.5,0
Isaiah Todd,2021,WAS,20,10,1,9,4.1,1.6,0.5,1.7,29.4,0.4,1.1,36.4,0.2,0.6,33.3,0.2,0.8,1,0.3,0.1,0.2,0.2,0.1,4.4,0,0,-0.1,0
Vernon Carey Jr.,2021,WAS,21,5,3,2,3.6,1.6,0.6,1.2,50,0,0,0,0.4,0.6,66.7,0.6,0.4,1,0,0.2,0.2,0,0.2,3.2,0,0,-4.4,0
Charlie Brown Jr.,2021,PHI,25,19,14,5,9.1,1.6,0.5,2.1,25.6,0.1,0.6,8.3,0.5,0.5,90,0.7,0.9,1.7,0.3,0.3,0.5,0.2,0.9,6,0,0,-1.1,0
RJ Nembhard Jr.,2021,CLE,23,7,4,3,6.2,1.6,0.7,1.6,45.5,0,0.1,0,0.1,0.3,50,0,0.3,0.3,1.4,0.3,0,0,0.3,3.8,0,0,0.3,0
Emmanuel Mudiay,2021,SAC,26,2,0,2,5.5,1.5,0,1,0,0,0,0,1.5,2,75,0,0,0,2,0.5,0.5,0,0.5,5.5,0,0,-3.5,0
Rob Edwards,2021,OKC,25,2,0,2,5.4,1.5,0.5,2,25,0.5,2,25,0,0,0,0,1.5,1.5,0,0.5,0,0,0,2.8,0,0,-7,0
Darren Collison,2021,LAL,34,3,1,2,12.4,1.3,0.7,2.3,28.6,0,1,0,0,0,0,0,1.3,1.3,0.7,0.3,0.3,0,1.7,4.6,0,0,-4.7,0
Bruno Fernando,2021,HOU,23,22,14,8,3.3,1.3,0.5,1,50,0,0.1,50,0.3,0.4,75,0.5,0.5,1,0.2,0.3,0,0.1,0.4,2.8,0,0,-1.8,0
Usman Garuba,2021,HOU,20,15,2,13,7,1.3,0.5,1.6,33.3,0.1,0.9,15.4,0.1,0.1,50,0.6,1.7,2.3,0.5,0.2,0.5,0.4,0.6,7.2,0,0,2.6,0
Jeff Dowtin Jr.,2021,ORL,25,5,4,1,6.1,1.2,0.6,1.4,42.9,0,0.4,0,0,0,0,0.2,1.2,1.4,0.6,0.2,0,0.2,0.4,4.2,0,0,2.6,0
Myles Powell,2021,PHI,24,11,8,3,4.7,1.2,0.5,1.5,29.4,0.1,0.5,16.7,0.2,0.2,100,0.1,0.5,0.5,0.3,0.3,0.1,0,0.7,2.2,0,0,-1.6,0
Juancho Hernangomez,2021,UTA,26,25,13,12,6.1,1.2,0.3,1.4,23.5,0.2,0.9,18.2,0.4,0.5,69.2,0.5,1.1,1.6,0.2,0.4,0.2,0.1,0.3,4,0,0,-1.5,0
Brodric Thomas,2021,BOS,25,8,4,4,4.9,1.1,0.4,1.4,27.3,0.1,0.9,14.3,0.3,0.3,100,0.3,0.5,0.8,0.6,0.5,0,0.1,0.6,2.8,0,0,1.1,0
Leandro Bolmaro,2021,MIN,21,25,13,12,7.5,1.1,0.4,1.3,28.1,0.1,0.5,16.7,0.3,0.4,88.9,0.6,0.8,1.4,0.4,0.5,0.2,0,0.8,3.6,0,0,-1.4,0
Ed Davis,2021,CLE,33,19,11,8,7.5,1.1,0.5,0.7,64.3,0,0,0,0.2,0.4,37.5,0.4,1.9,2.3,0.3,0.3,0.2,0.4,1.4,5.8,0,0,-0.3,0
Tacko Fall,2021,CLE,26,11,4,7,5.3,1.1,0.5,1.1,41.7,0,0,0,0.2,0.6,28.6,0.6,1.5,2.1,0.2,0.3,0,0.5,0.3,5.2,0,0,0.5,0
Marcus Garrett,2021,MIA,23,12,11,1,10.7,1.1,0.4,1.8,23.8,0.1,0.3,25,0.2,0.4,40,0.8,1.2,1.9,0.6,0.2,0.4,0.3,1.3,6.1,0,0,1.4,0
Petr Cornelie,2021,DEN,26,13,3,10,2.9,1.1,0.4,1.2,33.3,0.1,0.6,12.5,0.2,0.3,75,0.5,0.5,1.1,0.2,0.3,0.1,0.1,0.5,2.9,0,0,0.6,0
Jericho Sims,2021,NYK,23,18,7,11,6.5,1.1,0.4,0.6,72.7,0,0,0,0.2,0.2,75,0.6,0.9,1.5,0.1,0.1,0.2,0.4,0.6,4.5,0,0,-1,0
Braxton Key,2021,DET,25,2,2,0,3.2,1,0.5,1,50,0,0.5,0,0,0,0,0.5,0.5,1,0.5,1,0.5,0,0.5,3.5,0,0,-2.5,0
Dakota Mathias,2021,MEM,26,6,5,1,2.7,1,0.3,1,33.3,0.3,1,33.3,0,0,0,0,0.3,0.3,0.2,0,0.2,0,0.2,2.2,0,0,-1.8,0
Deividas Sirvydis,2021,DET,22,3,1,2,8.9,1,0.3,3.3,10,0.3,2.3,14.3,0,0,0,0,2,2,0.3,0,1,0.3,1.3,7.9,0,0,-9.3,0
Jaden Springer,2021,PHI,19,2,2,0,2.8,1,0.5,0.5,100,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0,1,0,4.7,0,0,-4,0
Luke Kornet,2021,BOS,26,4,3,1,6.6,1,0.3,2.3,11.1,0,0.5,0,0.5,0.8,66.7,0.8,0.8,1.5,0.5,0,0.3,0.3,0.5,5.1,0,0,5,0
Shaq Buchanan,2021,MEM,25,2,2,0,4.9,1,0.5,2,25,0,1,0,0,0,0,0.5,0.5,1,1,1,0.5,0,0.5,4.2,0,0,-1,0
Tyrell Terry,2021,MEM,21,2,2,0,1.5,1,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,-1,0
Vit Krejci,2021,OKC,22,6,2,4,5.2,1,0.3,1,33.3,0,0.7,0,0.3,0.3,100,0,0.8,0.8,0.3,0.3,0,0,0.3,2.2,0,0,-0.2,0
Kai Jones,2021,CHA,21,17,11,6,2.8,0.9,0.4,0.6,63.6,0.1,0.1,50,0.1,0.2,25,0.1,0.4,0.5,0.2,0.3,0,0,0.3,1.6,0,0,-0.8,0
Malik Fitts,2021,BOS,24,7,6,1,5,0.9,0.3,1.3,22.2,0.3,0.6,50,0,0,0,0,1.4,1.4,0,0.3,0,0,0.4,2.3,0,0,-4.1,0
Isaac Bonga,2021,TOR,22,13,8,5,5.1,0.8,0.2,1,23.1,0.1,0.3,25,0.3,0.5,66.7,0.3,0.2,0.5,0.2,0.2,0.5,0.2,0.8,3.8,0,0,-2.7,0
Carlik Jones,2021,DEN,24,5,3,2,4.7,0.8,0.2,1.8,11.1,0,0.2,0,0.4,0.4,100,0.2,0.4,0.6,1,0.6,0.2,0,0,3,0,0,-4,0
Chandler Hutchison,2021,PHX,26,6,4,2,3.7,0.7,0.2,0.3,50,0,0,0,0.3,0.3,100,0,0.8,0.8,0.3,0.7,0,0,0.2,1.5,0,0,2.5,0
DaQuan Jeffries,2021,MEM,24,3,3,0,2.9,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,2,0,0,-1,0
Jarron Cumberland,2021,POR,24,3,0,3,4.1,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0.3,0.7,1,0.3,0,0,0,0.7,2.4,0,0,3,0
Jaylen Morris,2021,SAS,26,3,0,3,5.3,0.7,0,2,0,0,0.7,0,0.7,1.3,50,0,0.7,0.7,0.7,0.3,0,0,0.7,2.1,0,0,2.7,0
Sharife Cooper,2021,ATL,21,11,6,5,3.2,0.6,0.3,1.3,21.4,0.1,0.5,16.7,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.1,1.4,0,0,-2.6,0
Solomon Hill,2021,ATL,31,13,7,6,10.7,0.6,0.2,1.5,15,0.2,1,15.4,0,0,0,0.5,1.3,1.8,0.9,0.1,0.3,0.2,1.2,5.4,0,0,3.2,0
Robert Woodard II,2021,SAS,22,12,0,12,3.5,0.6,0.2,1.3,12.5,0.1,0.3,25,0.2,0.2,100,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,2.5,0,0,1.3,0
Jamorko Pickett,2021,DET,24,6,1,5,7.8,0.5,0.2,1.7,10,0.2,1.2,14.3,0,0,0,0.3,1.2,1.5,0.2,0.5,0,0.2,0.5,2.6,0,0,-3.8,0
Scottie Lewis,2021,CHA,22,2,1,1,3.3,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0.5,0,0.5,0,0,2.8,0,0,-2,0
Yves Pons,2021,MEM,23,7,6,1,3.2,0.4,0.1,0.4,33.3,0.1,0.1,100,0,0.3,0,0.3,0.4,0.7,0,0,0,0,0.3,1.3,0,0,-0.3,0
Aaron Henry,2021,PHI,22,6,6,0,2.8,0.3,0.2,0.8,20,0,0.2,0,0,0,0,0,0.2,0.2,0,0.3,0,0.3,0.3,1.2,0,0,-3.3,0
Miye Oni,2021,UTA,24,16,15,1,2.8,0.3,0.1,0.6,22.2,0.1,0.5,12.5,0,0.1,0,0.1,0.4,0.4,0.3,0.1,0,0,0.4,1.2,0,0,-2,0
Joel Ayayi,2021,WAS,22,7,1,6,2.9,0.3,0.1,0.9,16.7,0,0.1,0,0,0,0,0.1,0.3,0.4,0.6,0,0,0,0,1.7,0,0,0.4,0
George King,2021,DAL,28,4,2,2,4.8,0.3,0,1.3,0,0,1,0,0.3,0.5,50,0,1.3,1.3,0,0.3,0,0,1,1.5,0,0,-6.8,0
Ade Murkey,2021,SAC,24,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Anthony Lamb,2021,HOU,24,2,0,2,3.8,0,0,1,0,0,1,0,0,0,0,0,0.5,0.5,1,0,0,0,0,2.1,0,0,2.5,0
Arnoldas Kulboka,2021,CHA,24,1,1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
CJ Miles,2021,BOS,35,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5,0
Cat Barber,2021,ATL,27,3,0,3,4.3,0,0,1.3,0,0,0,0,0,1.3,0,0.3,0.7,1,1,0.3,0,0,0.3,2.4,0,0,3.7,0
David Johnson,2021,TOR,21,2,2,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DeJon Jarreau,2021,IND,24,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Didi Louzada,2021,POR,22,2,0,2,3.5,0,0,1.5,0,0,1.5,0,0,0,0,1,0,1,0.5,0,0,0,0,2,0,0,-2,0
Emanuel Terry,2021,PHX,25,3,2,1,6.1,0,0,1.7,0,0,0,0,0,0,0,2.7,2.3,5,0.7,1.7,0.3,0,1.3,6.3,0,0,-6.3,0
Isaiah Livers,2021,DET,23,1,0,1,4.7,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,5,0,0,-2,0
JaQuori McLaughlin,2021,DAL,24,4,2,2,2.7,0,0,0.5,0,0,0.3,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0.8,0,0,-2.3,0
Jaime Echenique,2021,WAS,25,1,1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Javin DeLaurier,2021,MIL,24,1,1,0,2.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4.2,0,0,4,0
Jay Huff,2021,LAL,24,4,0,4,5.1,0,0,0.8,0,0,0.5,0,0,0,0,0.3,0.8,1,0.3,0.3,0.3,0.3,0.3,2.8,0,0,3.8,0
Jaylen Hoard,2021,OKC,23,1,0,1,1.8,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,0,0,-4,0
Jaysean Paige,2021,DET,27,1,1,0,6.6,0,0,3,0,0,2,0,0,0,0,0,1,1,1,1,0,0,2,1.7,0,0,-10,0
Jon Teske,2021,MEM,25,3,3,0,2.6,0,0,0.3,0,0,0,0,0,0.7,0,0,0.7,0.7,0.3,0,0.3,0,0.3,2.3,0,0,-1,0
Jordan Bell,2021,CHI,27,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,4.2,0,0,1,0
Jordan Goodwin,2021,WAS,23,2,1,1,3,0,0,1.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,-4,0
Jordan Schakel,2021,WAS,24,2,1,1,7.1,0,0,3,0,0,1.5,0,0,0,0,1,0.5,1.5,0,0,0,0,0,1.8,0,0,2,0
MJ Walker,2021,PHX,24,2,1,1,4.2,0,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0,1,0,0.5,4.4,0,0,-1.5,0
Matt Mooney,2021,NYK,27,1,1,0,1.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,-5,0
Moses Wright,2021,DAL,23,1,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,1,0
Nate Hinton,2021,IND,23,2,0,2,1.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-0.5,0,0,2,0
Sam Dekker,2021,TOR,28,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
Trayvon Palmer,2021,DET,27,1,0,1,16.8,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2,1.4,0,0,-12,0
Tyler Hall,2021,NYK,25,1,1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
Xavier Sneed,2021,UTA,24,2,2,0,3.8,0,0,1,0,0,1,0,0,0,0,0.5,0.5,1,0,0,0,0,1,1.2,0,0,-3,0
Zylan Cheatham,2021,UTA,26,1,0,1,5.2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0
