PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Jonathan Kuminga,2021,GSW,19,47,33,14,14.5,8,2.9,5.7,51.1,0.6,1.9,32.2,1.5,2.3,65.5,0.6,2.2,2.8,0.7,0.9,0.4,0.2,1.9,13.3,1,0,0.4,0
Maxi Kleber,2021,DAL,30,42,25,17,25.3,8,2.7,6.2,43.5,1.7,4.5,37.2,0.9,1.1,77.1,1.3,4.7,6,1.1,0.7,0.5,1,2.3,20.7,2,0,2,0
Draymond Green,2021,GSW,32,34,28,6,29.9,7.9,3.2,5.9,53.7,0.4,1.2,28.6,1.2,2,59.7,1.1,6.4,7.6,7.4,3.1,1.4,1.2,2.8,32.6,3,1,5.8,1
Damion Lee,2021,GSW,29,47,33,14,20.3,7.8,2.9,6.4,45.2,1.2,3.3,37,0.9,1,85.1,0.4,2.7,3.1,0.9,0.6,0.7,0.1,1.4,14.6,0,0,1,0
Raul Neto,2021,WAS,30,49,24,25,20.3,7.8,3,6.6,45.5,0.4,1.8,24.4,1.3,1.7,74.7,0.2,1.8,2,2.8,1.2,0.8,0,1.6,15.5,0,0,-1.1,0
Robin Lopez,2021,ORL,34,27,6,21,17.3,7.7,3.4,6,57.1,0.1,0.2,40,0.9,1.5,57.5,2,1.6,3.6,1.6,1.3,0,0.6,1.9,15.1,3,0,-2.1,0
Jaylen Nowell,2021,MIN,22,42,25,17,14.6,7.7,3,6.3,46.6,0.9,2.3,37.1,1,1.3,74.5,0.4,1.6,2,2.1,0.5,0.5,0.1,1.1,14.7,0,0,-0.2,0
Deni Avdija,2021,WAS,21,58,27,31,23.4,7.7,2.8,6.4,44.1,0.9,2.9,30.7,1.2,1.6,76.7,0.6,4.4,5.1,1.7,0.8,0.8,0.6,2.3,19.6,2,0,0.6,0
Markieff Morris,2021,MIA,32,10,7,3,18.7,7.7,3.2,7,45.7,0.8,2.2,36.4,0.5,0.5,100,1.3,1.5,2.8,1.4,1.2,0.3,0.1,2.2,13.2,0,0,2.7,0
Javonte Green,2021,CHI,28,42,30,12,24.2,7.6,2.8,5.2,54.6,0.5,1.5,34.9,1.5,1.8,82.4,1.6,2.8,4.4,1.1,0.6,0.9,0.5,2.1,18.3,0,0,2.4,0
Robert Covington,2021,LAC,31,55,24,31,28.5,7.6,2.7,6.8,39.1,1.6,4.6,34,0.7,0.9,81.6,0.9,4.6,5.5,1.4,1.2,1.5,1.2,2.7,23.4,1,0,-0.6,0
Royce O'Neale,2021,UTA,29,54,34,20,31.4,7.6,2.7,5.6,49,1.5,3.7,40.6,0.6,0.8,79.5,0.8,4.2,4.9,2.5,0.9,1.3,0.5,2.4,21.7,2,0,3.7,0
